N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
55,유한양행,"125,200","상승
				200",+0.16%,"1,000","100,120","79,968",17.61,"490,296",152.50,3.41,
56,효성중공업,"1,059,000","상승
				19,000",+1.83%,"5,000","98,747","9,325",23.54,"51,665",32.58,14.90,
57,포스코인터내셔널,"55,700","상승
				4,500",+8.79%,"5,000","97,989","175,923",6.24,"2,751,986",18.21,8.14,
58,DB손해보험,"133,800","하락
				1,700",-1.25%,500,"94,730","70,800",45.00,"206,134",5.57,18.98,
59,대한항공,"25,250","상승
				150",+0.60%,"5,000","92,976","368,221",16.96,"1,343,344",7.60,13.17,
60,두산,"556,000","하락
				2,000",-0.36%,"5,000","91,873","16,524",14.98,"123,289",-57.38,-14.57,
61,한국항공우주,"92,200","상승
				2,300",+2.56%,"5,000","89,872","97,475",33.74,"853,345",54.30,10.42,
62,TIGER 미국S&P500,"21,715","하락
				45",-0.21%,0,"87,012","400,700",0.26,"8,723,935",N/A,N/A,
63,KODEX CD금리액티브(합성),"1,075,075","상승
				75",+0.01%,0,"86,675","8,062",0.00,"174,329",N/A,N/A,
64,LS ELECTRIC,"280,000","상승
				4,000",+1.45%,"5,000","84,000","30,000",23.95,"157,675",36.49,13.44,
65,한국금융지주,"149,900","하락
				1,600",-1.06%,"5,000","83,533","55,726",36.98,"317,807",7.98,11.54,
66,HD현대마린솔루션,"183,200","하락
				2,800",-1.51%,500,"82,127","44,829",29.56,"58,590",32.78,44.98,
67,한미반도체,"86,100","하락
				500",-0.58%,100,"82,064","95,312",7.31,"323,488",60.55,27.43,
68,카카오페이,"59,000","상승
				500",+0.85%,500,"79,645","134,992",34.37,"907,153","-1,903.23",-0.73,
69,SK바이오팜,"101,700","상승
				500",+0.49%,500,"79,645","78,313",10.94,"141,271",31.70,58.01,
70,아모레퍼시픽,"134,600","하락
				100",-0.07%,500,"78,731","58,493",23.71,"127,178",14.86,11.69,
71,코웨이,"109,000","상승
				1,300",+1.21%,500,"78,381","71,909",60.90,"238,286",13.90,19.38,
72,HD현대미포,"194,000","하락
				5,000",-2.51%,"5,000","77,488","39,942",22.41,"292,958",50.76,5.25,
73,한진칼,"115,900","하락
				800",-0.69%,"2,500","77,377","66,762",20.78,"78,528",16.99,16.75,
74,현대건설,"66,000","하락
				1,100",-1.64%,"5,000","73,495","111,356",25.00,"1,529,800",-36.42,-2.09,
75,S-Oil,"62,700",보합0,0.00%,"2,500","70,589","112,583",74.13,"80,845",-18.11,-2.18,
76,한화,"92,400",보합0,0.00%,"5,000","69,262","74,959",16.37,"414,709",8.83,7.19,
77,KODEX 머니마켓액티브,"103,370","상승
				10",+0.01%,0,"68,420","66,189",0.00,"420,784",N/A,N/A,
78,NH투자증권,"21,100","하락
				350",-1.63%,"5,000","68,382","324,086",15.92,"823,309",10.92,8.73,
79,에이피알,"179,300","상승
				1,500",+0.84%,100,"68,213","38,044",23.71,"436,701",51.01,41.34,
80,LG씨엔에스,"69,800","하락
				2,100",-2.92%,500,"67,626","96,886",3.82,"669,035",15.18,18.32,
81,KODEX 200,"43,245","상승
				155",+0.36%,0,"67,614","156,350",33.59,"7,308,623",N/A,N/A,
82,LG유플러스,"14,920","하락
				200",-1.32%,"5,000","65,142","436,611",37.90,"811,102",15.92,4.40,
83,한화솔루션,"37,800","상승
				350",+0.93%,"5,000","64,975","171,893",14.69,"3,271,744",-6.66,-15.99,
84,삼성증권,"72,500","하락
				300",-0.41%,"5,000","64,742","89,300",28.36,"336,238",7.24,12.89,
85,삼성카드,"53,400","상승
				400",+0.75%,"5,000","61,869","115,859",6.18,"65,161",9.22,8.00,
86,현대차2우B,"171,500","상승
				8,900",+5.47%,"5,000","59,963","34,964",59.50,"404,789",3.74,N/A,
87,한국타이어앤테크놀로지,"47,150","상승
				800",+1.73%,500,"58,407","123,875",35.29,"331,275",5.42,10.79,
88,키움증권,"223,000","상승
				500",+0.22%,"5,000","58,084","26,047",26.48,"140,995",7.65,15.98,
89,LS,"176,600","하락
				100",-0.06%,"5,000","56,865","32,200",14.99,"167,564",20.02,5.09,
90,두산밥캣,"57,000","상승
				2,300",+4.20%,500,"54,638","95,856",34.01,"341,815",12.38,8.77,
91,맥쿼리인프라,"11,400","하락
				10",-0.09%,0,"54,597","478,922",8.91,"793,166",N/A,N/A,
92,TIGER 미국나스닥100,"141,590","하락
				1,125",-0.79%,0,"53,337","37,670",0.10,"395,581",N/A,N/A,
93,LG생활건강,"331,500","상승
				500",+0.15%,"5,000","51,774","15,618",28.42,"40,621",32.49,3.44,
94,넷마블,"60,200","하락
				3,100",-4.90%,100,"51,744","85,954",25.67,"256,542",50.89,0.49,
95,현대제철,"37,450","상승
				900",+2.46%,"5,000","49,975","133,446",18.11,"1,132,890",-50.81,-0.06,
96,BNK금융지주,"15,460","상승
				40",+0.26%,"5,000","49,222","318,384",39.63,"919,981",7.68,6.96,
97,삼성E&A,"24,950","하락
				350",-1.38%,"5,000","48,902","196,000",45.54,"734,950",6.56,19.65,
98,GS,"51,700","상승
				100",+0.19%,"5,000","48,037","92,915",15.91,"205,242",11.88,4.12,
99,KODEX 미국S&P500,"19,985","하락
				45",-0.22%,0,"47,994","240,150",0.14,"7,756,389",N/A,N/A,
100,TIGER CD금리투자KIS(합성),"56,320",보합0,0.00%,0,"47,923","85,090",0.03,"189,576",N/A,N/A,
101,JB금융지주,"24,150","하락
				350",-1.43%,"5,000","46,829","193,908",34.29,"385,441",7.06,12.80,
102,LG디스플레이,"9,210","상승
				100",+1.10%,"5,000","46,050","500,000",20.98,"839,084",-2.26,-37.21,
103,CJ,"156,900","하락
				3,700",-2.30%,"5,000","45,779","29,177",11.47,"135,254",56.34,1.83,
104,풍산,"162,400","상승
				7,500",+4.84%,"5,000","45,511","28,024",24.17,"423,224",18.91,11.33,
105,오리온,"112,700","하락
				1,000",-0.88%,500,"44,557","39,536",30.55,"78,581",8.33,16.57,
106,현대오토에버,"159,200","상승
				300",+0.19%,500,"43,659","27,424",2.92,"74,957",26.46,10.40,
107,이수페타시스,"59,200",보합0,0.00%,"1,000","43,458","73,409",20.66,"662,895",41.43,24.92,
108,엔씨소프트,"198,700","하락
				6,800",-3.31%,500,"42,808","21,544",32.47,"136,957",58.30,2.99,
109,강원랜드,"19,940","하락
				160",-0.80%,500,"42,660","213,940",14.63,"528,747",9.73,12.09,
110,한국가스공사,"45,750","상승
				2,050",+4.69%,"5,000","42,233","92,313",10.09,"1,158,339",3.81,11.21,
111,포스코DX,"26,800","상승
				1,250",+4.89%,500,"40,745","152,035",3.25,"1,602,850",48.55,17.92,
112,KODEX KOFR금리액티브(합성),"110,810","상승
				10",+0.01%,0,"39,866","35,977",0.00,"337,201",N/A,N/A,
113,두산로보틱스,"61,100","하락
				200",-0.33%,500,"39,605","64,820",2.13,"107,030",-91.88,-8.69,
114,SKC,"102,400","상승
				1,500",+1.49%,"5,000","38,777","37,868",13.90,"154,254",-7.43,-34.34,
115,현대차우,"165,200","상승
				5,800",+3.64%,"5,000","38,559","23,341",58.06,"457,659",3.60,N/A,
116,CJ제일제당,"252,500","상승
				500",+0.20%,"5,000","38,012","15,054",20.41,"50,085",55.97,1.97,
117,SK바이오사이언스,"47,600","상승
				350",+0.74%,500,"37,304","78,369",6.31,"72,737",-77.52,-3.07,
118,한미약품,"287,500","상승
				500",+0.17%,"2,500","36,832","12,811",11.59,"39,213",33.82,11.89,
119,에코프로머티,"52,300","상승
				100",+0.19%,500,"36,575","69,932",21.07,"327,239",-87.17,-5.56,
120,LG이노텍,"154,000","상승
				2,100",+1.38%,"5,000","36,447","23,667",22.88,"140,816",9.19,8.92,
121,KODEX 종합채권(AA-이상)액티브,"118,775","상승
				40",+0.03%,0,"35,296","29,717",0.00,"33,104",N/A,N/A,
122,금호석유화학,"127,000","하락
				2,200",-1.70%,"5,000","33,604","26,460",18.48,"94,902",10.44,5.88,
123,TIGER 미국테크TOP10 INDXX,"25,525","하락
				185",-0.72%,0,"33,221","130,150",0.12,"2,163,931",N/A,N/A,
124,한미사이언스,"48,550","상승
				1,750",+3.74%,500,"33,204","68,392",1.68,"240,807",62.97,7.30,
125,한전기술,"86,700","하락
				400",-0.46%,200,"33,137","38,220",11.64,"169,435",28.62,10.40,
126,KCC,"369,500","하락
				4,000",-1.07%,"5,000","32,836","8,886",9.60,"29,493",-27.93,6.08,
127,현대엘리베이터,"83,300","하락
				2,600",-3.03%,"5,000","32,564","39,092",25.92,"189,355",15.58,14.42,
